iter	Passed	Remaining
0	0	68
1	1	56
2	1	53
3	2	50
4	2	51
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	43
14	7	42
15	8	43
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	42
28	17	41
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	54	1
98	55	0
99	56	0
